Timestamp,Empty Seats Count
2023-11-10 13:05:48.414968,9
2023-11-10 13:05:48.739999,10
2023-11-10 13:05:49.123007,10
2023-11-10 13:05:49.435991,10
2023-11-10 13:05:49.808457,10
2023-11-10 13:05:50.156329,10
2023-11-10 13:05:50.467245,9
2023-11-10 13:05:50.868863,10
2023-11-10 13:05:51.203388,10
2023-11-10 13:05:51.548474,10
2023-11-10 13:05:51.892646,10
2023-11-10 13:05:52.235661,10
2023-11-10 13:05:52.584185,10
2023-11-10 13:05:52.936963,10
2023-11-10 13:05:53.281664,10
2023-11-10 13:05:53.625421,10
2023-11-10 13:05:53.974636,11
2023-11-10 13:05:54.318789,10
2023-11-10 13:05:54.672591,10
2023-11-10 13:05:55.021466,10
2023-11-10 13:05:55.352660,9
2023-11-10 13:05:55.683903,10
2023-11-10 13:05:56.011243,11
2023-11-10 13:05:56.518493,10
2023-11-10 13:05:56.936069,10
2023-11-10 13:05:57.484064,10
2023-11-10 13:05:58.031602,9
2023-11-10 13:05:58.574379,10
2023-11-10 13:05:58.922438,9
2023-11-10 13:05:59.382491,10
2023-11-10 13:05:59.955307,10
2023-11-10 13:06:00.505730,11
2023-11-10 13:06:01.075125,11
2023-11-10 13:06:01.414139,10
2023-11-10 13:06:01.963143,10
2023-11-10 13:06:02.517001,11
2023-11-10 13:06:02.898692,12
2023-11-10 13:06:03.290761,10
2023-11-10 13:06:03.669854,10
2023-11-10 13:06:04.078746,10
2023-11-10 13:06:04.415353,11
2023-11-10 13:06:04.894568,10
2023-11-10 13:06:05.240797,10
2023-11-10 13:06:05.564652,11
2023-11-10 13:06:05.875313,9
2023-11-10 13:06:06.190567,10
2023-11-10 13:06:06.584960,10
2023-11-10 13:06:07.068289,12
2023-11-10 13:06:07.381484,11
2023-11-10 13:06:07.693629,11
2023-11-10 13:06:08.007670,11
